pid,tid,seq,query,cxt_included,cxt_added,cxt_removed
14987,serve,1,add static route,,,
14987,serve,2,add _static route,C,1,
14987,serve,3,add _static route using _path,CP,1,
17135,serve,1,ad,,,
17135,serve,2,add static to _express,P,1,
17380,serve,1,add /static route which serves files,,,
17380,serve,2,add /static route to setup _javascript,L,1,
17380,serve,3,static route _javascript,L,,
17380,serve,4,_static route _javascript,CL,1,
20964,serve,1,expressjs static route,P,,
21752,serve,1,_express add a static file server,P,,
21752,serve,2,_express add a _static file server,PC,1,
21752,serve,3,_express serve pdf file,P,,
27362,serve,1,_javascript serve static file,L,,
29016,serve,1,_javascript static pdf server,L,,
29016,serve,2,_javascript static pdf server serve.js,L,,
29016,serve,3,_javascript add /static route to serve,L,,
36615,serve,1,static route,,,
42904,serve,1,download pdf receipts,,,
42904,serve,2,serve static files,,,
42904,serve,3,serve _static files,C,1,
48128,serve,1,serve /static route,,,
49394,serve,1,_express get route send files,P,,
49394,serve,2,_express get route url params,P,,
49394,serve,3,js send response file via get route,L,1,1
55264,serve,1,sta,,,
55264,serve,2,static route js,L,1,
55264,serve,3,/static route js,L,,
59191,serve,1,add static route serve files,,,
61514,serve,1,add static route,,,
61514,serve,2,serve static route,,,
61514,serve,3,serve file from static route,,,
65727,serve,1,_javascript serve files,L,,
73430,serve,1,/static route,,,
73430,serve,2,static route,,,
76613,serve,1,_express web server add route,P,,
76613,serve,2,express web server add route,P,,
96947,serve,1,_express serve file js,PL,,
96947,serve,2,express serve file js,PL,,
99907,serve,1,add route that serves files,,,
99907,serve,2,routes for method _express,P,1,
99907,serve,3,set up routes _express,P,,
99907,serve,4,routes to serve files _express,P,,
99907,serve,5,add routes _express,P,,
99907,serve,6,setting up a route in node,,,1
12830,serve,1,_javascript _express _path add /static route to,LPP,,
12830,serve,2,_javascript _express _path add /static route to web server,LPP,,
20014,serve,1,_javascript _express _path add a route to serve files,LPP,,
20998,serve,1,_javascript _express _path serve static file,LPP,,
30065,serve,1,_javascript _express _path add static route,LPP,,
31472,serve,1,_javascript _express _path add static route,LPP,,
32156,serve,1,_javascript _express _path add route,LPP,,
32156,serve,2,_javascript _express _path uri,LPP,,
32156,serve,3,_javascript _express _path get file,LPP,,
32156,serve,4,_javascript get file,L,,2
32156,serve,5,_javascript serve file,L,,
32156,serve,6,_javascript setup route,L,,
32919,serve,1,_javascript _express _path static serve public,LPP,,
39681,serve,1,_javascript _express _path static route to serve files from /srs/public,LPP,,
39681,serve,2,_javascript _express _path static route to serve files,LPP,,
46094,serve,1,_javascript _express _path add static route,LPP,,
56883,serve,1,_javascript _express _path /static' route,LPP,,
57414,serve,1,_javascript _express _path configure static route,LPP,,
57414,serve,2,_javascript _express _path configure static route from directory,LPP,,
62905,serve,1,_javascript _express _path return static files,LPP,,
62905,serve,2,_javascript _express _path return static files filename,LPP,,
69302,serve,1,_javascript _express _path request file from static route,LPP,,
69302,serve,2,_javascript _express request file from static route,LP,,1
69302,serve,3,_javascript _express add path to static route,LPP,1,
69321,serve,1,_javascript _express _path set route,LPP,,
69321,serve,2,_javascript _express _path static route,LPP,,
81897,serve,1,_javascript _express _path static serve,LPP,,
87190,serve,1,_javascript _express _path add static route,LPP,,
91073,serve,1,_javascript _express _path create route,LPP,,
91073,serve,2,_javascript _express _path serve local files,LPP,,
92307,serve,1,_javascript _express _path add route to serve static files,LPP,,
93100,serve,1,_javascript _express _path add route,LPP,,
93100,serve,2,_javascript _express _path,LPP,,
93100,serve,3,_javascript _express _path create,LPP,,
93100,serve,4,_javascript _express _path add route,LPP,,
93100,serve,5,_javascript _express _path add,LPP,,
93100,serve,6,_javascript _express _path return file,LPP,,
93100,serve,7,_javascript _express _path get parameters from,LPP,,
93100,serve,8,_javascript _express _path get,LPP,,
93100,serve,9,_javascript _express _path return file,LPP,,
99741,serve,1,_javascript _express _path serve static files webserver,LPP,,
12830,recent,1,subtract days from _moment,P,,
20014,recent,1,subtract time from date,,,
20014,recent,2,momentjs dubtract days months years,P,1,
20998,recent,1,update date by interval unit _javascript moment.js,LP,,
20998,recent,2,subtract date by interval unit _javascript moment.js,LP,,
30065,recent,1,momentjs define date by units,P,,
31472,recent,1,_moment subtract days from date,P,,
31472,recent,2,_moment from date,P,,
31472,recent,3,_moment subtract,P,,
31472,recent,4,_moment subtract days,P,,
31472,recent,5,_moment time from date,P,,
31472,recent,6,_moment subtract time from date,P,,
32156,recent,1,_javascript date subtraction,L,,
32156,recent,2,_javascript subtract date,L,,
32156,recent,3,_javascript date,L,,
32156,recent,4,_javascript date decrement,L,,
32919,recent,1,js get start date given time unti,L,,
32919,recent,2,js get start date given time unit,L,,
32919,recent,3,js _moment interval,LP,1,
32919,recent,4,js _moment get start date given interval and end,LP,,
39681,recent,1,subtract time from a date js,L,,
39681,recent,2,subtract time from a date using an interval js,L,,
46094,recent,1,subtract amount of time by the interval from date,,,
56883,recent,1,update the startDate by subtracting amount // of time specified interval and unit parameters.,,,
56883,recent,2,update date,,,
56883,recent,3,update date using interval and unit,,,
57414,recent,1,_javascript date arithmetic,L,,
57414,recent,2,_javascript date arithmetic with specified units,L,,
62905,recent,1,subtract,,,
62905,recent,2,subtract interval from date,,,
69302,recent,1,date difference operations,,,
69302,recent,2,date minus interval js,L,1,
69321,recent,1,sub,,,
81897,recent,1,update objetcts in node array,,,
81897,recent,2,momnet subtract time,P,1,
87190,recent,1,subtract time _javascript,L,,
91073,recent,1,moment subtract date,P,,
91073,recent,2,moment subtract days from date,P,,
92307,recent,1,convert date to days,,,
92307,recent,2,convert _moment time to days,P,1,
93100,recent,1,_moment interval unit,P,,
93100,recent,2,_moment subtract by days,P,,
99741,recent,1,subtract from date,,,
99741,recent,2,create Date from,,,
14987,recent,1,_javascript _moment startDate so that it subtracts the specified number of days/months/years from endDate,LP,,
17135,recent,1,_javascript _moment subtract dates,LP,,
17380,recent,1,_javascript _moment ssubtract date,LP,,
17380,recent,2,_javascript _moment subtract date given interval and value,LP,,
17380,recent,3,_javascript _moment (,LP,,
20964,recent,1,_javascript _moment subtract days,LP,,
21752,recent,1,_javascript _moment,LP,,
21752,recent,2,_javascript _moment create a one month in the future,LP,,
27362,recent,1,_javascript _moment java subtract duration from date,LP,,
29016,recent,1,_javascript _moment subtract date,LP,,
36615,recent,1,_javascript _moment date subtract,LP,,
42904,recent,1,_javascript _moment subtract date,LP,,
48128,recent,1,_javascript _moment substract amount in array parameters,LP,,
49394,recent,1,_javascript _moment subtrack days months from given date,LP,,
55264,recent,1,_javascript _moment substract amount of time,LP,,
59191,recent,1,_javascript _moment subtract interval unit date,LP,,
61514,recent,1,subtract time in date format,,,
61514,recent,2,subtract time from a date,,,
61514,recent,3,moment,P,1,
61514,recent,4,subtract time from moment,P,,
65727,recent,1,_javascript _moment unit,LP,,
65727,recent,2,_javascript _moment subtract,LP,,
73430,recent,1,_javascript _moment subtracting amount of time,LP,,
76613,recent,1,_javascript _moment subtract date,LP,,
92652,recent,1,_javascript _moment subtract time,LP,,
96947,recent,1,_javascript _moment js subtract time,LP,,
99907,recent,1,_javascript moment,LP,,
99907,recent,2,_javascript subtracting moments,L,,1