pid,tid,query,resRank,sigPos,sigRank,listRank,signature,solution,notSigSoln,resRankTop,sigRankTop,signatureTop
10,clone,clone array,2,2,8,,T[].forEach(function): void,"const myClonedArray = [];
trades.forEach(val => myClonedArray.push(Object.assign({}, val)));
return Object.assign([], myClonedArray);",,,,
39,clone,clone array,,,,,,return trades.slice(0);,,0,4,slice(number)
31,clone,clone array shallow,,,,,,return trades.map(e => e);,,,,
27,clone,clone array shallow copy,,,,,,"return trades.slice();
;",,,,
15,clone,javascript clone array,0,0,0,0,JSON.parse(string),return JSON.parse(JSON.stringify(trades));,,,,
16,clone,javascript clone array,0,0,0,0,JSON.parse(string),"var dup_array = JSON.parse(JSON.stringify(trades))
return dup_array;",,,,
17,clone,javascript clone array,0,0,0,0,JSON.parse(string),"var dup_array = JSON.parse(JSON.stringify(trades))
return dup_array;",,,,
18,clone,javascript clone array,0,0,0,0,JSON.parse(string),"const tradesCopy = JSON.parse(JSON.stringify(trades));
return tradesCopy;",,,,
21,clone,javascript clone array,0,0,0,0,JSON.parse(string),"var dup_array = JSON.parse(JSON.stringify(trades))
return dup_array;",,,,
22,clone,javascript clone array,0,0,0,0,JSON.parse(string),var trades = JSON.parse(JSON.stringify(trades)),,,,
24,clone,javascript clone array,3,1,10,9,T[].forEach(function): void,"var copyTrades = [];
copyTrades.forEach(val => copyTrades.push())",,,,
33,clone,javascript clone array,3,0,9,3,T[].map(function): U[],return trades.map(function(e){return e;});,,0,6,map(function)
3,clone,javascript clone array,0,2,2,4,T[].slice(): T[],"var trades1 = trades.slice();
return trades1;",,,,
5,clone,javascript clone array,0,2,2,4,T[].slice(): T[],return trades.slice();,,,,
6,clone,javascript clone array,0,2,2,4,T[].slice(): T[],return trades.slice();,,,,
9,clone,javascript clone array,0,2,2,4,T[].slice(): T[],return trades.slice();,,,,
14,clone,javascript clone array,0,2,2,4,T[].slice(): T[],return trades.slice();,,,,
19,clone,javascript clone array,0,2,2,4,T[].slice(): T[],"var dup_trades = trades.slice();
return dup_trades;",,,,
30,clone,javascript clone array,0,2,2,4,T[].slice(): T[],return trades.slice();,,,,
32,clone,javascript clone array,0,2,2,4,T[].slice(): T[],return trades.slice();,,,,
37,clone,javascript clone array,0,2,2,4,T[].slice(): T[],return trades.slice();,,,,
1,clone,javascript clone array,1,2,5,7,T[].slice(number): T[],return trades.slice(0);,,0,4,slice(number)
4,clone,javascript clone array,1,2,5,7,T[].slice(number): T[],return trades.slice(0);,,0,4,slice(number)
13,clone,javascript clone array,1,2,5,7,T[].slice(number): T[],return trades.slice(0);,,0,4,slice(number)
25,clone,javascript clone array,1,2,5,7,T[].slice(number): T[],trades = trades.slice(0);,,0,4,slice(number)
28,clone,javascript clone array,1,2,5,7,T[].slice(number): T[],trades = trades.slice(0),,0,4,slice(number)
35,clone,javascript clone array,1,2,5,7,T[].slice(number): T[],"let clone = trades.slice(0);
return clone;",,0,4,slice(number)
2,clone,javascript clone array,,,,,,"for(var i = 0, len = trades.length; i < len; ++i)
dup_array[i] = trades[i];
return dup_array;",1,,,
7,clone,javascript clone array,,,,,,trades = [...trades];,1,,,
8,clone,javascript clone array,,,,,,"let tradesCopy = [...trades];
return tradesCopy;",1,,,
11,clone,javascript clone array,,,,,,"let copy = [...trades];
return copy;",1,,,
20,clone,javascript clone array,,,,,,return [...trades];,1,,,
34,clone,javascript clone array,0,0,0,0,JSON.parse(string),return JSON.parse(JSON.stringify(trades));,,,,
40,clone,javascript clone array,,,,,,return [...trades];,1,,,
26,clone,javascript clone array of objects,1,2,4,3,map(function),"return trades.map(a => Object.assign({}, a));",,,,
12,clone,javascript deep copy,1,2,5,4,ObjectConstructor.assign(object),"return Object.assign([], trades);",,0,4,"ObjectConstructor.assign(T, U): T & U"
23,clone,javascript shallow clone array,0,2,2,4,T[].slice(): T[],return trades.slice(),,,,
29,clone,shallow copy,,,,,,return [...trades];,1,,,
15,currency,format currency,,,,,,"const formatter = new Intl.NumberFormat(locale, {
style: 'currency',
currency: currency,
// These options are needed to round to whole numbers if that's what you want.
//minimumFractionDigits: 0, // (this suffices for whole numbers, but will print 2500.10 as $2,500.1)
//maximumFractionDigits: 0, // (causes 2500.99 to be printed as $2,501)
});
return formatter.format(amount);",,,,
32,currency,format currency,,,,,,"return amount.toLocaleString(locale, {
style: 'currency',
currency,
});",,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
16,currency,format currency,,,,,,"function formatMoney(number) {
return number.toLocaleString('en-US', { style: 'currency', currency: 'USD' });
}
//this is really tedious, and the help thing isnt helpful at all :(
//I could do it but it would take a while and is functionally just grunt work code :(
//also I couldnt finish it in 5 minutes so I gave up :(
// Create our number formatter.
const formatter = new Intl.NumberFormat('en-US', {
style: 'currency',
currency: 'USD',
// These options are needed to round to whole numbers if that's what you want.
//minimumFractionDigits: 0, // (this suffices for whole numbers, but will print 2500.10 as $2,500.1)
//maximumFractionDigits: 0, // (causes 2500.99 to be printed as $2,501)
});
return formatter;",,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
14,currency,format currency given locale,,,,,,"const formatter = new Intl.NumberFormat(locale, {
style: 'currency',
currency: currency,
//minimumFractionDigits: 0, // (this suffices for whole numbers, but will print 2500.10 as $2,500.1)
//maximumFractionDigits: 0, // (causes 2500.99 to be printed as $2,501)
});
return formatter.format(amount);",,,,
23,currency,format currency in user's locale,,,,,,"const formatter = new Intl.NumberFormat(locale, {
style: 'currency',
currency: currency,
});
console.log(formatter.format(2500)); /* $2,500.00 */
return formatter.format(amount);",,,,
10,currency,format currency locale,,,,,,"return amount.toLocaleString(locale, { style: 'currency', currency: currency });",,,,
1,currency,javascript format currency,0,1,1,0,Intl.NumberFormat.format(number | bigint): string,"let cur = new Intl.NumberFormat(locale, {
style: 'currency',
currency: currency,
// These options are needed to round to whole numbers if that's what you want.
//minimumFractionDigits: 0, // (this suffices for whole numbers, but will print 2500.10 as $2,500.1)
//maximumFractionDigits: 0, // (causes 2500.99 to be printed as $2,501)
});
return cur;",,,,
4,currency,javascript format currency,0,1,1,0,Intl.NumberFormat.format(number | bigint): string,"// Create our number formatter.
const formatter = new Intl.NumberFormat(locale, {
style: 'currency',
currency: currency,
// These options are needed to round to whole numbers if that's what you want.
//minimumFractionDigits: 0, // (this suffices for whole numbers, but will print 2500.10 as $2,500.1)
//maximumFractionDigits: 0, // (causes 2500.99 to be printed as $2,501)
});
return formatter.format(amount);",,,,
6,currency,javascript format currency,0,1,1,0,Intl.NumberFormat.format(number | bigint): string,"const formatter = new Intl.NumberFormat(locale, {
style: 'currency',
currency: currency,
// These options are needed to round to whole numbers if that's what you want.
//minimumFractionDigits: 0, // (this suffices for whole numbers, but will print 2500.10 as $2,500.1)
//maximumFractionDigits: 0, // (causes 2500.99 to be printed as $2,501)
});
return formatter.format(amount);",,,,
7,currency,javascript format currency,0,1,1,0,Intl.NumberFormat.format(number | bigint): string,"const formatter = new Intl.NumberFormat(locale, {
style: 'currency',
currency: currency,
// These options are needed to round to whole numbers if that's what you want.
//minimumFractionDigits: 0, // (this suffices for whole numbers, but will print 2500.10 as $2,500.1)
//maximumFractionDigits: 0, // (causes 2500.99 to be printed as $2,501)
});
return formatter.format(amount);",,,,
8,currency,javascript format currency,0,1,1,0,Intl.NumberFormat.format(number | bigint): string,"return new Intl.NumberFormat(locale, { style: 'currency', currency: currency }).format(amount)",,,,
9,currency,javascript format currency,0,1,1,0,Intl.NumberFormat.format(number | bigint): string,"const formatter = new Intl.NumberFormat(locale, {
style: 'currency',
currency: currency,
});
return formatter.format(amount);",,,,
12,currency,javascript format currency,0,1,1,0,Intl.NumberFormat.format(number | bigint): string,"// Create our number formatter.
var formatter = new Intl.NumberFormat(locale, {
style: 'currency',
currency: currency,
});
return formatter.format(amount);",,,,
19,currency,javascript format currency,0,1,1,0,Intl.NumberFormat.format(number | bigint): string,"const formatter = new Intl.NumberFormat('en-US', {
style: 'currency',
currency: 'USD',
// These options are needed to round to whole numbers if that's what you want.
//minimumFractionDigits: 0, // (this suffices for whole numbers, but will print 2500.10 as $2,500.1)
//maximumFractionDigits: 0, // (causes 2500.99 to be printed as $2,501)
});
formatter.format(2500)
return formatter;",,,,
26,currency,javascript format currency,0,1,1,0,Intl.NumberFormat.format(number | bigint): string,"const formatter = new Intl.NumberFormat(locale, {
style: 'currency',
currency: currency,
});
return formatter.format(amount);",,,,
27,currency,javascript format currency,0,1,1,0,Intl.NumberFormat.format(number | bigint): string,"// Create our number formatter.
const formatter = new Intl.NumberFormat(locale, {
style: 'currency',
currency: currency,
// These options are needed to round to whole numbers if that's what you want.
//minimumFractionDigits: 0, // (this suffices for whole numbers, but will print 2500.10 as $2,500.1)
//maximumFractionDigits: 0, // (causes 2500.99 to be printed as $2,501)
});
return formatter.format(amount);",,,,
28,currency,javascript format currency,0,1,1,0,Intl.NumberFormat.format(number | bigint): string,"var formattedCurrency = Intl.NumberFormat(locale, {
style: 'currency',
currency
currencyDisplay: ""code""
}).format(amount)
return formattedCurrency;",,,,
34,currency,javascript format currency,0,1,1,0,Intl.NumberFormat.format(number | bigint): string,"// Create our number formatter.
const formatter = new Intl.NumberFormat(locale, {
style: 'currency',
currency: currency,
// These options are needed to round to whole numbers if that's what you want.
//minimumFractionDigits: 0, // (this suffices for whole numbers, but will print 2500.10 as $2,500.1)
//maximumFractionDigits: 0, // (causes 2500.99 to be printed as $2,501)
});
return formatter.format(amount,);",,,,
36,currency,javascript format currency,0,1,1,0,Intl.NumberFormat.format(number | bigint): string,"const formatter = new Intl.NumberFormat(locale, {
style: 'currency',
currency,
});
return formatter.format(amount);",,,,
39,currency,javascript format currency,0,1,1,0,Intl.NumberFormat.format(number | bigint): string,"var formatter = new Intl.NumberFormat(locale, {
style: 'currency',
currency
});
return formatter.format(amount);",,,,
2,currency,javascript format currency,2,0,4,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string","return amount.toLocaleString(locale, { style: 'currency', currency: currency });",,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
5,currency,javascript format currency,2,0,4,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string","const x = amount.toLocaleString(locale, { style: 'currency', currency: currency });
return x;",,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
13,currency,javascript format currency,2,0,4,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string","return amount.toLocaleString(locale, { style: 'currency', currency: currency});",,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
17,currency,javascript format currency,2,0,4,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string","return amount.toLocaleString(locale, { style: 'currency', currency: currency});",,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
18,currency,javascript format currency,2,0,4,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string","amount.toLocaleString(locale, {style: 'currency', currency: currency})
return amount;",,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
20,currency,javascript format currency,2,0,4,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string","return amount.toLocaleString(locale, {
style: 'currency',
currency: currency
});",,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
22,currency,javascript format currency,2,0,4,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string","* @param {number}
* amount - The quantity of currency to print
amount = trades.amount;
locale = trades.locale;
return amount.toLocaleString(locale, currency);",,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
24,currency,javascript format currency,2,0,4,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string","return amount.toLocaleString(locale, { style: 'currency', currency: currency});",,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
25,currency,javascript format currency,2,0,4,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string","var formattedString = amount.toLocaleString(locale, {style: 'currency', currency: currency});
return formattedString;
}",,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
29,currency,javascript format currency,2,0,4,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string","return amount.toLocaleString(locale, {style: ""currency"", currency: currency});",,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
30,currency,javascript format currency,2,0,4,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string","return amount.toLocaleString(locale, { style: 'currency', currency: currency });",,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
31,currency,javascript format currency,2,0,4,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string","return amount.toLocaleString(locale, { style: 'currency', currency: currency });",,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
33,currency,javascript format currency,2,0,4,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string","return amount.toLocaleString(locale, { style: 'currencty', currency:  currency});",,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
35,currency,javascript format currency,2,0,4,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string","let result = amount.toLocaleString(locale, { style: 'currency', currency: currency })
return result;",,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
37,currency,javascript format currency,2,0,4,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string","return amount.toLocaleString(locale, { style: 'currency', currency: currency });",,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
40,currency,javascript format currency,2,0,4,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string","return amount.toLocaleString(locale, { style: 'currency', currency: currency });",,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
3,currency,javascript format currency,,,,,,"string = amount + "" "" + locale + "" "" + currency",1,,,
21,currency,javascript format currency,,,,,,// of currency formatted according to the locale.,1,,,
38,currency,locale format currency,,,,,,"return new Intl.NumberFormat(locale, {
style: 'currency',
currency,
// minimumFractionDigits: 2
}).format(amount);",,,,
23,find,find item in array by value,,,,,,return trades.find(i => i.id === id);,,,,
32,find,find item in array by value,,,,,,"const tradeList = trades.find(o => o.id === id);
return tradeList ?? [];",,,,
34,find,find item in array by value,,,,,,return trades.find(o => o.id === id);,,,,
26,find,javascript array find value,,,,,,return trades.find(x => x.id == id);,,,,
6,find,javascript find item in array by value,0,0,0,1,T[].filter(function): T[],return trades.filter(obj=>obj.id===id);;,,,,
9,find,javascript find item in array by value,0,0,0,1,T[].filter(function): T[],return trades.filter(trade=>trade.id === id);,,,,
10,find,javascript find item in array by value,0,0,0,1,T[].filter(function): T[],"var foundValue = trades.filter(obj=>obj.id===id);
return foundValue;",,,,
15,find,javascript find item in array by value,0,0,0,1,T[].filter(function): T[],"return trades.filter(function (obj) {
return obj.id === id;
})",,,,
17,find,javascript find item in array by value,0,0,0,1,T[].filter(function): T[],"var found = trades.filter(obj=>obj.id===id);
return found;",,,,
19,find,javascript find item in array by value,0,0,0,1,T[].filter(function): T[],"var foundValue = trades.filter(obj => obj.id === id);
return foundValue;",,,,
21,find,javascript find item in array by value,0,0,0,1,T[].filter(function): T[],"var foundValue = -1;
foundValue = trades.filter(obj=>obj.id==id);
if (foundValue == -1) foundValue = undefined;
return foundValue;",,,,
30,find,javascript find item in array by value,0,0,0,1,T[].filter(function): T[],return trades.filter(function(arr){return arr.id === id });,,,,
36,find,javascript find item in array by value,0,0,0,1,T[].filter(function): T[],return trades.filter(obj => obj.id === id);,,,,
40,find,javascript find item in array by value,0,0,0,1,T[].filter(function): T[],return trades.filter(obj=>obj.id===id);,,,,
1,find,javascript find item in array by value,0,2,2,2,T[].find(function): T,return array.find(trades => trades.id === id) || [],,,,
2,find,javascript find item in array by value,0,2,2,2,T[].find(function): T,"let obj = arr.find(o => o.id === trades.id);
return obj;",,,,
4,find,javascript find item in array by value,0,2,2,2,T[].find(function): T,return trades.find(o => o.id === id);,,,,
5,find,javascript find item in array by value,0,2,2,2,T[].find(function): T,"let x = trades.find(o => o.id === id);
return x;",,,,
7,find,javascript find item in array by value,0,2,2,2,T[].find(function): T,"let trade = trades.find(o => o.id === id);
return trade;",,,,
8,find,javascript find item in array by value,0,2,2,2,T[].find(function): T,"const found = trades.find(trade => trade.id === id);
return found;",,,,
12,find,javascript find item in array by value,0,2,2,2,T[].find(function): T,"let obj = trades.find(o => o.id === id);
if (obj) {
return obj;
}
return [];",,,,
13,find,javascript find item in array by value,0,2,2,2,T[].find(function): T,return trades.find(t => t.id === id);,,,,
20,find,javascript find item in array by value,0,2,2,2,T[].find(function): T,"return trades.find(trade =>
trade.id == id);",,,,
24,find,javascript find item in array by value,0,2,2,2,T[].find(function): T,"var trade = trades.find(x => x.id === id);
return trade;",,,,
25,find,javascript find item in array by value,0,2,2,2,T[].find(function): T,"let tradeFromID = trades.find(tr => tr.id === id);
return tradeFromID;",,,,
27,find,javascript find item in array by value,0,2,2,2,T[].find(function): T,"let obj = [];
obj = trades.find(o => o.id === id);
return obj;",,,,
28,find,javascript find item in array by value,0,2,2,2,T[].find(function): T,return trades.find(item => item.id === id);;,,,,
29,find,javascript find item in array by value,0,2,2,2,T[].find(function): T,return trades.find(trade => trade.id === id);,,,,
